,age_band_of_driver,vehicle_type,age_of_vehicle,weather_conditions,day_of_week,road_surface_conditions,light_conditions,sex_of_driver,season,speed_limit,accident_seriousness
132,16-25,Car,6,Fine no high winds,Saturday,Wet or damp,Daylight,Male,Summer,60,Fatal
133,16-25,Car,6,Fine no high winds,Saturday,Dry,Daylight,Male,Autumn,60,Fatal
134,16-25,Car,6,Fine no high winds,Saturday,Dry,Daylight,Male,Autumn,70,Fatal
135,26-45,Car,6,Raining no high winds,Thursday,Wet or damp,Darkness - no lighting,Male,Winter,70,Fatal
136,26-45,Motorcycle,6,Fine no high winds,Wednesday,Dry,Daylight,Male,Winter,70,Fatal
137,26-45,Car,6,Fine no high winds,Wednesday,Dry,Darkness - no lighting,Male,Summer,70,Fatal
138,16-25,Motorcycle,5,Fine no high winds,Friday,Dry,Daylight,Male,Rainy,20,Fatal
139,Over 65,Car,5,Fine no high winds,Sunday,Dry,Daylight,Male,Rainy,20,Fatal
140,Over 65,Car,5,Fine no high winds,Sunday,Dry,Daylight,Male,Summer,20,Fatal
141,16-25,Car,5,Fine no high winds,Saturday,Dry,Darkness - lights lit,Male,Summer,30,Fatal
142,16-25,Car,5,Fine no high winds,Saturday,Dry,Darkness - lights lit,Male,Summer,30,Fatal
143,16-25,Motorcycle,5,Fine no high winds,Friday,Wet or damp,Darkness - lights lit,Male,Rainy,30,Fatal
144,16-25,Car,5,Fine no high winds,Thursday,Dry,Darkness - lights lit,Male,Winter,30,Fatal
145,16-25,Motorcycle,5,Fine no high winds,Friday,Dry,Daylight,Male,Rainy,30,Fatal
146,16-25,Car,5,Fine no high winds,Saturday,Wet or damp,Daylight,Male,Autumn,30,Fatal
147,16-25,Car,5,Fine no high winds,Wednesday,Dry,Darkness - lights lit,Male,Autumn,30,Fatal
148,16-25,Car,5,Fine no high winds,Saturday,Wet or damp,Darkness - lights lit,Male,Rainy,30,Fatal
149,16-25,Car,5,Fine no high winds,Wednesday,Dry,Darkness - lights lit,Male,Summer,30,Fatal
150,16-25,Car,5,Fine no high winds,Sunday,Wet or damp,Daylight,Male,Rainy,30,Fatal
151,16-25,Car,5,Fine no high winds,Saturday,Dry,Daylight,Male,Rainy,30,Fatal
152,26-45,Motorcycle,5,Fine + high winds,Friday,Wet or damp,Darkness - lights lit,Male,Rainy,30,Fatal
153,26-45,Car,5,Fine no high winds,Wednesday,Dry,Darkness - lights lit,Female,Summer,30,Fatal
154,26-45,Car,5,Fog or mist,Sunday,Wet or damp,Darkness - lights lit,Male,Autumn,30,Fatal
155,26-45,Goods Vehicle,5,Fine no high winds,Tuesday,Dry,Daylight,Male,Autumn,30,Fatal
156,26-45,Motorcycle,5,Fine no high winds,Thursday,Dry,Daylight,Male,Rainy,30,Fatal
157,16-25,Car,5,Fine no high winds,Saturday,Wet or damp,Darkness - lights lit,Male,Rainy,40,Fatal
158,16-25,Car,5,Fine no high winds,Thursday,Dry,Daylight,Male,Rainy,40,Fatal
159,16-25,Motorcycle,5,Fine no high winds,Thursday,Dry,Daylight,Male,Summer,40,Fatal
160,26-45,Car,5,Raining + high winds,Wednesday,Wet or damp,Darkness - lights lit,Male,Summer,40,Fatal
161,26-45,Car,5,Fine no high winds,Saturday,Wet or damp,Daylight,Male,Rainy,40,Fatal
162,26-45,Car,5,Fine no high winds,Saturday,Wet or damp,Daylight,Male,Autumn,40,Fatal
163,46-65,Motorcycle,5,Fine no high winds,Thursday,Dry,Darkness - no lighting,Male,Rainy,40,Fatal
164,46-65,Motorcycle,5,Fine no high winds,Monday,Dry,Daylight,Male,Autumn,40,Fatal
165,Over 65,Car,5,Fine no high winds,Wednesday,Wet or damp,Darkness - lights lit,Male,Autumn,40,Fatal
166,16-25,Car,5,Fine no high winds,Saturday,Wet or damp,Darkness - lights lit,Male,Winter,50,Fatal
167,16-25,Car,5,Raining no high winds,Wednesday,Wet or damp,Darkness - no lighting,Male,Rainy,50,Fatal
168,26-45,Car,5,Fine no high winds,Sunday,Wet or damp,Daylight,Male,Autumn,50,Fatal
169,46-65,Car,5,Fine no high winds,Saturday,Dry,Darkness - no lighting,Male,Winter,50,Fatal
170,46-65,Car,5,Fine no high winds,Saturday,Wet or damp,Daylight,Male,Rainy,50,Fatal
171,46-65,Car,5,Fine no high winds,Tuesday,Frost or ice,Darkness - no lighting,Male,Autumn,50,Fatal
172,46-65,Car,5,Fine no high winds,Wednesday,Dry,Daylight,Male,Rainy,50,Fatal
173,46-65,Motorcycle,5,Fine no high winds,Tuesday,Dry,Daylight,Male,Rainy,50,Fatal
175,16-25,Car,5,Fine no high winds,Sunday,Dry,Darkness - no lighting,Male,Rainy,60,Fatal
176,16-25,Car,5,Fine no high winds,Friday,Wet or damp,Darkness - no lighting,Male,Autumn,60,Fatal
177,16-25,Car,5,Fine no high winds,Sunday,Dry,Darkness - no lighting,Male,Rainy,60,Fatal
178,16-25,Car,5,Fine no high winds,Saturday,Dry,Darkness - no lighting,Male,Autumn,60,Fatal
179,16-25,Car,5,Fine no high winds,Sunday,Dry,Darkness - no lighting,Male,Summer,60,Fatal
180,16-25,Car,5,Fine no high winds,Monday,Wet or damp,Darkness - no lighting,Female,Summer,60,Fatal
181,16-25,Motorcycle,5,Fine no high winds,Sunday,Wet or damp,Daylight,Male,Rainy,60,Fatal
182,16-25,Car,5,Fine no high winds,Monday,Dry,Daylight,Female,Rainy,60,Fatal
183,16-25,Car,5,Raining no high winds,Tuesday,Wet or damp,Daylight,Female,Rainy,60,Fatal
184,16-25,Car,5,Raining no high winds,Wednesday,Wet or damp,Darkness - lights lit,Male,Autumn,60,Fatal
185,16-25,Car,5,Fine no high winds,Monday,Dry,Darkness - no lighting,Male,Autumn,60,Fatal
186,16-25,Car,5,Fine no high winds,Sunday,Dry,Darkness - no lighting,Male,Winter,60,Fatal
187,16-25,Other Vehicle,5,Fine no high winds,Monday,Wet or damp,Darkness - no lighting,Male,Winter,60,Fatal
188,16-25,Car,5,Raining no high winds,Friday,Wet or damp,Darkness - no lighting,Male,Winter,60,Fatal
189,16-25,Car,5,Raining no high winds,Tuesday,Wet or damp,Darkness - no lighting,Male,Rainy,60,Fatal
190,16-25,Car,5,Fine no high winds,Friday,Dry,Daylight,Male,Winter,60,Fatal
191,16-25,Motorcycle,5,Fine no high winds,Tuesday,Dry,Daylight,Male,Summer,60,Fatal
192,16-25,Car,5,Fine no high winds,Wednesday,Dry,Daylight,Male,Rainy,60,Fatal
193,16-25,Car,5,Fine no high winds,Thursday,Wet or damp,Daylight,Female,Autumn,60,Fatal
194,16-25,Other Vehicle,5,Fine no high winds,Monday,Dry,Daylight,Male,Winter,70,Fatal
195,16-25,Car,5,Fog or mist,Friday,Wet or damp,Darkness - lights lit,Male,Rainy,70,Fatal
196,16-25,Car,5,Fine no high winds,Wednesday,Dry,Darkness - no lighting,Female,Winter,70,Fatal
197,16-25,Car,5,Raining no high winds,Thursday,Wet or damp,Darkness - no lighting,Male,Winter,70,Fatal
198,16-25,Motorcycle,5,Fine no high winds,Sunday,Dry,Daylight,Male,Autumn,70,Fatal
199,26-45,Car,5,Fine no high winds,Monday,Dry,Darkness - no lighting,Male,Winter,70,Fatal
200,26-45,Car,5,Fine no high winds,Sunday,Dry,Daylight,Male,Rainy,70,Fatal
201,26-45,Car,5,Fine no high winds,Thursday,Dry,Daylight,Female,Autumn,20,Fatal
202,16-25,Motorcycle,5,Fine no high winds,Friday,Dry,Darkness - lights lit,Male,Winter,30,Fatal
203,16-25,Motorcycle,5,Fine no high winds,Monday,Dry,Darkness - lights lit,Male,Rainy,30,Fatal
204,16-25,Car,5,Fine no high winds,Sunday,Wet or damp,Darkness - lights lit,Male,Winter,30,Fatal
205,16-25,Car,5,Fine no high winds,Sunday,Dry,Darkness - lights lit,Female,Summer,30,Fatal
206,16-25,Car,5,Raining no high winds,Friday,Wet or damp,Darkness - lights lit,Male,Rainy,30,Fatal
207,16-25,Car,5,Fine no high winds,Monday,Dry,Daylight,Male,Summer,30,Fatal
208,16-25,Motorcycle,5,Fine no high winds,Friday,Dry,Daylight,Male,Summer,30,Fatal
209,16-25,Car,5,Fine no high winds,Friday,Dry,Daylight,Male,Rainy,30,Fatal
210,16-25,Car,5,Fine no high winds,Friday,Wet or damp,Darkness - lights lit,Male,Summer,30,Fatal
211,16-25,Car,5,Fine no high winds,Saturday,Dry,Darkness - lights lit,Male,Summer,30,Fatal
212,16-25,Car,5,Fine no high winds,Sunday,Dry,Daylight,Male,Rainy,30,Fatal
213,16-25,Car,5,Fine no high winds,Thursday,Dry,Daylight,Male,Rainy,30,Fatal
214,16-25,Car,5,Fine no high winds,Wednesday,Dry,Daylight,Male,Rainy,30,Fatal
215,16-25,Motorcycle,5,Fine no high winds,Saturday,Dry,Daylight,Male,Summer,30,Fatal
216,16-25,Motorcycle,5,Fine no high winds,Thursday,Dry,Daylight,Male,Rainy,30,Fatal
217,16-25,Motorcycle,5,Fine no high winds,Thursday,Dry,Daylight,Male,Autumn,30,Fatal
218,16-25,Motorcycle,5,Fine no high winds,Saturday,Dry,Daylight,Male,Summer,30,Fatal
219,26-45,Bus,5,Fine no high winds,Friday,Wet or damp,Darkness - lights lit,Male,Summer,30,Fatal
220,26-45,Car,5,Fine no high winds,Friday,Dry,Darkness - lights lit,Male,Autumn,30,Fatal
221,26-45,Bus,5,Raining + high winds,Monday,Wet or damp,Darkness - lights lit,Male,Summer,30,Fatal
222,26-45,Car,5,Raining no high winds,Thursday,Wet or damp,Darkness - lights lit,Female,Winter,30,Fatal
223,26-45,Car,5,Fine no high winds,Sunday,Dry,Daylight,Male,Winter,30,Fatal
224,26-45,Car,5,Fine no high winds,Wednesday,Dry,Daylight,Male,Summer,30,Fatal
225,26-45,Motorcycle,5,Fine no high winds,Friday,Dry,Daylight,Male,Winter,30,Fatal
226,26-45,Car,5,Fine no high winds,Saturday,Wet or damp,Daylight,Male,Winter,30,Fatal
227,26-45,Car,5,Fine no high winds,Saturday,Wet or damp,Daylight,Male,Summer,30,Fatal
228,26-45,Car,5,Fine no high winds,Wednesday,Dry,Daylight,Female,Winter,30,Fatal
229,16-25,Car,5,Fine no high winds,Wednesday,Dry,Darkness - lights lit,Male,Rainy,40,Fatal
230,16-25,Motorcycle,5,Fine no high winds,Tuesday,Dry,Daylight,Male,Rainy,40,Fatal
231,16-25,Car,5,Fine no high winds,Sunday,Wet or damp,Daylight,Male,Winter,40,Fatal
232,16-25,Motorcycle,5,Fine no high winds,Tuesday,Dry,Daylight,Male,Rainy,40,Fatal
233,16-25,Car,5,Fine no high winds,Tuesday,Wet or damp,Daylight,Female,Summer,40,Fatal
234,26-45,Car,5,Fine no high winds,Friday,Dry,Darkness - lights unlit,Male,Rainy,40,Fatal
235,26-45,Goods Vehicle,5,Fine no high winds,Sunday,Dry,Daylight,Male,Summer,40,Fatal
236,26-45,Car,5,Fine no high winds,Sunday,Dry,Daylight,Male,Summer,40,Fatal
237,26-45,Car,5,Fine no high winds,Wednesday,Dry,Daylight,Male,Winter,40,Fatal
238,26-45,Car,5,Raining + high winds,Sunday,Wet or damp,Daylight,Male,Autumn,40,Fatal
239,26-45,Car,5,Snowing no high winds,Thursday,Wet or damp,Daylight,Male,Rainy,40,Fatal
240,26-45,Car,5,Fine no high winds,Thursday,Wet or damp,Darkness - lights lit,Male,Rainy,40,Fatal
241,26-45,Motorcycle,5,Fine no high winds,Thursday,Dry,Darkness - lights lit,Male,Rainy,40,Fatal
242,26-45,Car,5,Fine no high winds,Thursday,Dry,Daylight,Male,Summer,40,Fatal
243,46-65,Goods Vehicle,5,Fine no high winds,Tuesday,Dry,Daylight,Male,Rainy,40,Fatal
244,46-65,Bus,5,Fine no high winds,Thursday,Dry,Daylight,Male,Winter,40,Fatal
245,46-65,Goods Vehicle,5,Fine no high winds,Wednesday,Wet or damp,Daylight,Male,Winter,40,Fatal
246,46-65,Bus,5,Fine no high winds,Saturday,Dry,Daylight,Male,Summer,40,Fatal
247,Over 65,Car,5,Fine no high winds,Thursday,Dry,Daylight,Male,Rainy,40,Fatal
248,Over 65,Car,5,Fine no high winds,Thursday,Dry,Daylight,Male,Autumn,40,Fatal
249,Over 65,Car,5,Fine no high winds,Tuesday,Dry,Daylight,Male,Winter,40,Fatal
250,Over 65,Car,5,Fine no high winds,Tuesday,Dry,Daylight,Male,Rainy,40,Fatal
251,Over 65,Car,5,Snowing no high winds,Thursday,Wet or damp,Daylight,Male,Rainy,40,Fatal
252,26-45,Car,5,Fine no high winds,Friday,Wet or damp,Darkness - no lighting,Male,Autumn,50,Fatal
253,26-45,Car,5,Fine no high winds,Friday,Dry,Daylight,Male,Winter,50,Fatal
254,46-65,Goods Vehicle,5,Raining no high winds,Friday,Wet or damp,Daylight,Male,Winter,50,Fatal
255,46-65,Goods Vehicle,5,Fine no high winds,Saturday,Dry,Daylight,Male,Summer,50,Fatal
256,16-25,Car,5,Fine no high winds,Tuesday,Dry,Darkness - lights lit,Male,Rainy,60,Fatal
257,16-25,Car,5,Fine no high winds,Friday,Dry,Darkness - no lighting,Male,Winter,60,Fatal
258,16-25,Car,5,Fine no high winds,Friday,Wet or damp,Darkness - no lighting,Male,Winter,60,Fatal
259,16-25,Car,5,Mud,Sunday,Frost or ice,Darkness - no lighting,Male,Autumn,60,Fatal
260,16-25,Car,5,Fine no high winds,Monday,Wet or damp,Daylight,Male,Winter,60,Fatal
261,16-25,Car,5,Fine no high winds,Sunday,Dry,Daylight,Male,Rainy,60,Fatal
262,16-25,Car,5,Fine no high winds,Thursday,Dry,Daylight,Male,Autumn,60,Fatal
263,16-25,Car,5,Fine no high winds,Monday,Dry,Daylight,Female,Summer,60,Fatal
264,16-25,Car,5,Raining no high winds,Friday,Wet or damp,Daylight,Male,Rainy,60,Fatal
265,16-25,Car,5,Fog or mist,Saturday,Wet or damp,Darkness - no lighting,Male,Rainy,60,Fatal
